date,title,label
None,None,
2023-06-05 11:16,"이케아코리아, 현대자동차와 '그린 포레스트' 행사 진행",1
2023-06-05 17:26,"적진서 펼치는 ‘자동차 한일전’… 도요타 ‘크라운’, 현대차 ‘코나’로 격돌",1
2023-06-05 16:28,"서울대·현대차·정부, 자동차 소재부품기업 살리기에 힘 모은다",1
2023-06-05 10:08,"현대자동차, 이케아 코리아와 신개념 공간 마케팅 진행",1
2023-05-31 8:54,"현대자동차·기아, 차에서 동영상 스트리밍 서비스 제공",1
2023-05-30 10:01,"현대자동차, '미래모빌리티학교' 모집",1
2023-05-30 9:44,"현대자동차, ‘미래모빌리티학교’ 모집",
2023-06-01 9:48,"세이브더칠드런-현대자동차, 인니서 아동 주도 재활용 캠페인",1
2023-05-31 16:14,"[포토] 현대자동차, '2023 대한민국 모바일 대상' 금상 수상",1
2023-05-28 12:11,[부고] 채병천(전 현대자동차 이사)씨 별세,0
2023-06-01 8:49,"현대자동차, 아이오닉 5 내걸고 '포니와 함께한 시간' 사진 공모전",1
2023-06-02 6:20,"[비즈S+] 포스코·현대제철, 전기차 시장 확대에 '자동차 강판' 사활",1
2023-06-02 9:10,"현대자동차, 상품성 높인 '2024 팰리세이드' 출시",1
2023-05-30 16:02,"현대자동차, 울산에 전기차 신공장에 이어 5000억원 통큰 투자",1
2023-06-02 10:19,"“포니와 함께한 시간” 현대자동차, 사진 공모전 개최",1
2023-05-30 16:44,"경기도, 평택 포승지구에 1450억원 규모'현대모비스 자동차용 모듈 생산시설을 조성' 유치",1
2023-05-25 8:45,현대자동차·두산에너빌리티 등 대기업 인턴 모집 활발,1
2023-06-02 16:46,식장 나서는 정의선 현대자동차 그룹 회장,1
2023-05-22 16:17,"[기업] 현대자동차, 독일 뉘르부르크링 내구레이스 8년 연속 완주",1
2023-05-25 8:53,"현대자동차그룹, 부산서 열리는 '2023 기후산업국제박람회' 참가",1
2023-05-22 13:55,"현대자동차, ‘뉘르부르크링 24시 내구레이스’ 8년 연속 완주 성공",1
2023-05-26 11:26,"현대자동차그룹, 2030년까지 FIFA ‘모빌리티 부문’ 후원 연장",1
2023-05-25 10:50,"현대자동차그룹, 2023 기후산업국제박람회 참가",1
2023-05-18 10:25,"“우수 인재 모여라”… 현대자동차, 채용전환형 인턴 모집",1
2023-05-19 13:55,"현대차, 전주대 기계자동차공학과에 교육용 전기차 기증",1
2023-05-22 9:38,"""현대차 공장서 미래자동차 배워요""...울산교육청, 중·고교생 진로체험 지원",1
2023-05-16 10:20,"현대자동차·기아, '2023 발명의 날' 행사 개최",1
2023-05-19 17:12,"현대자동차 전주공장, 전북대에 교육연구용 차량 2대 기증",1
2023-05-16 15:03,"현대자동차, 日서 ‘현대 브랜드 데이’ 개최",1
2023-05-14 7:34,미 역대 최대 규모 6700만대 자동차 리콜…GM·폭스바겐·현대 등 12개 업체 에어백 결함,0
2023-05-30 15:00,[AI의 산업접목⑤]급변하는 자동차 패러다임과 현대오토에버 최신 AI 기술,1
2023-05-20 11:09,"전북대, 현대자동차로부터 교육연구용 차량 2대 기증 받아",1
2023-05-21 10:37,"현대자동차, '콩코르소 델레간차 빌라 데스테 2023' 참가",1
2023-05-09 15:06,"추경호 ""전기차에 미래""...현대차그룹 ""24조 투자, 미래 자동차 허브로""",1
2023-05-09 14:37,"울산시, 현대자동차 전기차 울산공장 일대 첨단투자지구 지정 신청",1
2023-05-25 16:33,MZ세대들과 담소 나누는 정의선 현대자동차그룹 회장,1
2023-05-08 11:14,"현대자동차 '아반떼 N TCR', TCR 차이나 챔피언십 출전",1
2023-05-10 16:59,"현대자동차, 해조류 블루카본 개발 협력을 위한 업무협약 체결",1
2023-05-28 12:34,[부음] 채병천(전 현대자동차 이사)씨 별세,0
2023-05-19 18:29,"현대자동차, '포니 쿠페 콘셉트' 복원 모델 최초 공개",1
2023-05-14 18:51,美 자동차 6700만대 에어백 리콜… GM·폭스바겐·현대자동차 등 포함,0
2023-05-19 13:56,"현대차, 전주대 기계자동차공학과에 교육용 전기차 기증",1
2023-05-16 16:05,"현대자동차, 일본서 '현대 브랜드 데이' 개최",1
2023-05-21 10:37,"현대자동차, '콩코르소 델레간차 빌라 데스테 2023'서 'N Vision 74' 전시",1
2023-05-21 10:37,"현대자동차, '콩코르소 델레간차 빌라 데스테 2023'서 'N Vision 74' 전시",
2023-05-09 13:59,"울산시, 현대자동차 전기차 울산공장 첨단투자지구 지정 신청",1
2023-05-09 15:00,"현대자동차그룹, 올해 전기차 생산 인프라 확충 총력",1
2023-05-09 15:27,울산현대자동차를 방문한 추경호 경제부총리,1
2023-05-17 8:42,"이번에는 꼭...현대자동차, 일본 재진출 1년 ‘현대 브랜드 데이’ 열어?",1
2023-05-16 21:17,"산업부, LG에너지솔루션-현대자동차 배터리 합작공장 현장 방문",1
2023-05-17 14:07,"현대자동차, 26일 기업설명회 개최",1
2023-05-11 14:55,"현대차 전주공장, 전기자동차 분야 우수 인재양성 일조",1
2023-05-09 15:27,현대자동차 선적부두를 둘러보는 추경호 경제부총리,1
