date,title
2023-05-30 09:00:00,"삼성전자, 갤럭시·노트북·TV서 '자가 수리' 국내 도입"
2023-05-30 10:43:01,"삼성전자 갤럭시, 이제 내손으로 고친다"
2023-05-30 11:09:05,"[특징주] 삼성전자·SK하이닉스, 52주 신고가 기록"
2023-05-30 14:01:04,"""청년에 일경험""…SK하이닉스·삼성전자 등 2100명 모집"
2023-05-30 11:21:01,작년 주주 배당액 1위는 삼성전자…총 배당금은 6.7%↓
2023-05-30 09:29:00,갤S22·갤북 스스로 고친다…삼성전자 ‘자가 수리’ 국내 도입
2023-05-30 09:26:32,"""이번엔 중동""…삼성전자, 두바이 리조트서 2023년형 TV 공개"
2023-05-30 11:06:43,"삼성전자, 두바이서 2023년형 네오QLED 신제품 선봬"
2023-05-30 11:06:07,"""이제 집에서 고치세요""...삼성전자, '자가 수리' 국내 도입"
2023-05-30 18:00:07,"""머스크 불만 터트릴 지경인데""…삼성전자·하이닉스 웃는 이유"
2023-05-30 18:11:03,"삼성전자 신고가 행진…""8만전자 간다"""
2023-05-30 09:14:45,"""삼성전자, 책임경영 필요성↑…이재용 등기이사 복귀 가능성"""
2023-05-30 16:48:03,"삼성전자, 외국인 폭풍매수에 '7만전자 굳히기'"
2023-05-30 09:11:02,"삼성전자, 7.1만원 진입…반도체株 훈풍 지속[특징주]"
2023-05-30 09:13:41,"""삼성전자가 또?""...신제품에 적용한 '첨단 기술'은?"
2023-05-30 10:01:01,[특징주] 날개 단 삼성전자‧SK하이닉스…또 52주 최고가 경신
2023-05-29 21:11:01,돈다발 들고 달려온 외국인들…“삼성전자 사고 싶습니다”
2023-05-30 12:02:14,"신고가 행진 삼성전자·SK하이닉스…""반도체 질주는 계속된다"""
2023-05-30 18:17:01,"'반갑다, 삼성전자'…반도체주 랠리에 1년만에 7만2000원선 회복"
2023-05-30 11:35:41,삼성전자 '보행 보조 로봇' 특허 또 추가…'봇핏' 출시 임박?
2023-05-30 10:17:34,"[증시신상품] 한화투자증권, '한화 델타랩 삼성전자우' 출시"
2023-05-30 09:48:04,삼성전자·SK하이닉스 연고점…반도체주 랠리 이어질까
2023-05-30 09:04:01,삼성전자 vs TSMC…'AI 붐' 반도체 수혜주는 어디?
2023-05-30 15:53:07,"코스피, 1년 만에 2580선…'파죽지세' 삼성전자 7.2만대"
2023-05-30 09:27:15,반도체株 상승 랠리…삼성전자·SK하이닉스 신고가 행진
2023-05-30 10:34:46,"[STOCK] ""땡큐 엔비디아"" 삼성전자·SK하이닉스, 나란히 신고가"
2023-05-30 00:01:16,"동학 개미들, '9만전자' 바라보는 삼성전자 파는 까닭은?"
