date,title,self_label,sentiment,label
2023-05-30 9:00,"['삼성전자', ',', '갤럭시·노트북·TV서', ""'"", '자', '가', '수', '이', '리', ""'"", '국내', '도입']",1,0.39,0
2023-05-30 10:43,"['삼성전자', '갤럭시', ',', '이제', '내손', '으로', '고치', 'ㄴ다']",1,0.58,1
2023-05-30 11:09,"['[', '특징주', ']', '삼성전자·SK하이닉스,', '52주', '신', '고', '가', '아', '기록']",1,0.32,0
2023-05-30 14:01,"['""', '청년', '에', '일경험""…SK하이닉스·삼성전자', '등', '2100명', '모집']",1,0.45,0
2023-05-30 11:21,"['작년', '주주', '배당액', '1위', '는', '삼성전자…총', '배당금', '은', '6.7%↓']",0,0.41,0
2023-05-30 9:29,"['갤S22·갤북', '스스로', '고친다…삼성전자', '‘자', '가', '수리’', '국내', '도입']",1,0.51,1
2023-05-30 9:26,"['""', '이번', '엔', '중동""…삼성전자,', '두바', '이', '리조트', '서', '2023년형', 'TV', '공개']",1,0.24,0
2023-05-30 11:06,"['삼성전자', ',', '두바이', '서', '2023년형', '네오QLED', '신제품', '선봬']",1,0.44,0
2023-05-30 11:06,"['""', '이제', '집', '에서', '고치', '세', '요', '""', '...', '삼성전자', ',', ""'"", '자', '가', '수', '이', '리', ""'"", '국내', '도입']",1,0.5,0
2023-05-30 18:00,"['""머스크', '불', '만', '터트리', 'ㄹ', '지경인데""…삼성전자·하이닉스', '웃', '는', '이유']",1,0.4,0
2023-05-30 18:11,"['삼성전자', '신', '고', '가', '아', '행진…""8만전자', '갈', 'ㄴ다', '""']",1,0.31,0
2023-05-30 9:14,"['""', '삼성전자', ',', '책임경영', '필요성↑…이재용', '등기이사', '복귀', '가능성', '""']",1,0.29,0
2023-05-30 16:48,"['삼성전자', ',', '외국', '이', 'ㄴ', '폭풍매수', '에', ""'7만전자"", '굳히기', ""'""]",1,0.15,0
