date,title,label
2023-06-06 10:13,"""카카오, 왜 이제야""…3주간 200만명 폭발적 반응",1
2023-06-05 11:53,"""이러다 1위 내줄 판""…'절대 강자' 카카오톡의 위기",0
2023-06-05 16:58,"네이버·카카오 ""종이→전자문서로 디지털 친환경 앞장서""(종합)",1
2023-06-05 9:38,"카카오, 세계 환경의 날에 '이용자 환경 기여' 지표 공개",1
2023-06-05 14:49,카카오게임즈 '아레스 : 라이즈 오브 가디언즈' 사전등록 인원 100만 명 넘어,1
2023-06-05 9:43,"카카오페이, '바로 발급되는 카드 보기' 서비스 출시",1
2023-06-06 4:04,"카카오, 환경의날 맞아 ‘카카오 카본 인덱스’ 수치 공개",1
2023-06-05 3:21,[朝鮮칼럼] 문제는 뉴스제평위가 아니라 네이버·카카오다,0
2023-06-06 10:47,"카카오게임즈 '우마무스메 프리티 더비', 1주년 기념 대규모 이벤트",1
2023-06-06 14:03,절대강자는 옛말?…구글 맹추격에 카카오톡·네이버 입지 흔들,0
2023-06-05 14:32,"제주개발공사, 환경의 날 맞아 카카오와 해양 정화 활동 전개",1
2023-06-05 14:46,"""나 떨고 있니?"" 카카오톡, 네이버 제친 유튜브에 추월 위기",0
2023-06-05 13:57,"펫타버스, 카카오인베스트먼트 이어 AFWP로부터 후속 투자유치",1
2023-06-05 14:53,"카카오게임즈 ‘우마무스메’, 1주년 맞이 대규모 캠페인 개최",1
2023-06-05 10:13,"카카오톡 추월 위기, 턱밑까지 쫓아온 유튜브",0
None,None,
2023-06-06 14:45,"제주개발공사·카카오, 해양 정화 활동 '메이크 어스 그린 in 제주' 진행",1
2023-06-01 10:28,"카카오뱅크, '26주 적금 with 카카오웹툰' 출시",1
2023-06-02 10:59,"카카오, 소상공인 위한 '카카오 비즈니스 세미나' 스튜디오 개설",1
2023-06-02 13:54,카뱅 '카카오웹툰 26주 적금' 출시 하루 만에 10만좌 돌파,1
2023-06-02 9:37,"카카오, 소상공인 위한 교육 프로그램 제작 공간 열어",1
2023-06-05 16:09,"밥값'하는 카카오페이… ""마이데이터 정보 제공,  금융이력부족자들 신용카드 발급률 20%↑""",1
2023-06-02 14:24,"카카오뱅크 '26주적금 with 카카오웹툰', 하루만에 10만좌",1
2023-06-01 10:41,카카오뱅크 26주 적금 넣고 카카오웹툰 캐시 혜택까지,1
2023-06-02 12:18,"카카오 `비즈니스 스튜디오` ""소상공인들에 노하우 전달""",1
2023-06-01 13:37,"카카오엔터, 카카오뱅크와 ‘26주적금 with 카카오웹툰’ 출시",1
2023-06-01 9:14,"카카오, 네번째 사내어린이집 '별이든' 개원…아이 907명 돌본다",1
2023-06-01 10:36,"카카오, 4번째 사내 어린이집 '별이든' 개원",1
2023-06-02 10:37,"[게시판] 카카오, 소상공인 교육 프로그램 제작 공간 마련",1
2023-06-01 9:26,"카카오, 4번째 어린이집 개소…업계 최대 규모",1
2023-06-02 20:06,"다이어트 한약, 카카오톡으로 샀다 ‘탈났다’…소비자 피해 증가",0
2023-06-04 6:00,"""중소상공인 매출확대 도와드립니다""...상생나선 네이버-카카오",1
2023-05-31 11:18,"카카오, 지역 창업자·소상공인 디지털 전환 교육 진행",1
2023-06-02 13:47,"카카오 스테이지파이브, ESG 위원회 설립…의장에 민원기 전 차관",1
2023-05-30 15:15,‘먹통’ 겪은 카카오 “인프라 투자 세 배로 늘릴 것”,1
2023-05-30 9:24,"카카오, 2022 ESG 보고서 발간…지배구조 선진화 나선다",1
2023-06-02 6:06,카카오톡서 이것 함부로 사지 마세요,0
2023-06-02 10:10,"카카오, 중소 파트너 위한 ‘카카오비즈니스 스튜디오’ 열어",1
2023-05-31 20:18,네이버·카카오가 ‘전기차 시장’에 주목한 까닭 [이코노Y],1
2023-06-01 9:51,"카카오 VX '프렌즈 스크린', 한국타이어 춘식이컵 개최",1
2023-05-26 10:09,"미국 와튼스쿨, 한국 ICT 생태계 연구 위해 카카오 방문",1
2023-05-30 9:42,"카카오, 2022 ESG 보고서 발간…""지배구조 선진화""",1
2023-06-02 16:22,"카카오뱅크 ‘26주적금 with 카카오웹툰’, 출시 하루만에 10만좌 개설",1
