date,title,link,content,sentiment
2023-05-14 16:35:10,"삼성전자, 日에 반도체 개발거점 신설…한일 협력 강화",https://n.news.naver.com/mnews/article/003/0011857622?sid=101,"['삼성전자', ',', '日', '에', '반도체', '개발거점', '신설…한', '이', 'ㄹ', '협력', '강화']",긍정
2023-05-14 18:23:01,[단독] 네이버와 손잡은 삼성전자…'삼성 전용 챗GPT' 만든다,https://n.news.naver.com/mnews/article/015/0004844198?sid=101,"['[', '단독', ']', '네이버', '와', '손잡', '은', ""삼성전자…'삼성"", '전용', ""챗GPT'"", '만들', 'ㄴ다']",긍정
2023-05-14 16:47:01,"이재용 삼성전자 회장, 美서 일론 머스크 만났다",https://n.news.naver.com/mnews/article/082/0001212145?sid=105,"['이재용', '삼성전자', '회장', ',', '美', '서', '일론', '머스크', '만나', '아다']",긍정
2023-05-14 20:34:01,"삼성전자·테슬라 협력 확대 기대감...이재용, 머스크와 만났다",https://n.news.naver.com/mnews/article/050/0000065519?sid=101,"['삼성전자·테슬라', '협력', '확대', '기대감', '...', '이재', '용', ',', '머스크', '와', '만나', '아다']",긍정
2023-05-14 11:41:01,"""삼성전자, 日에 3000억 규모 반도체 시설 짓는다""",https://n.news.naver.com/mnews/article/014/0005011677?sid=101,"['""', '삼성전자', ',', '日', '에', '3000억', '규모', '반도체', '시설', '짓', '는다', '""']",긍정
2023-05-14 18:23:01,"삼성·LG전자, 에어컨 점유율 놓고 신경전",https://n.news.naver.com/mnews/article/366/0000901484?sid=105,"['삼성·LG전자,', '에어컨', '점유율', '놓', '고', '신경전']",중립
2023-05-14 09:17:01,"함영주 회장, 자카르타서 삼성전자와 손잡고 K-금융 전파",https://n.news.naver.com/mnews/article/018/0005485185?sid=101,"['함영주', '회장', ',', '자카르타', '서', '삼성전자', '와', '손잡', '고', 'K', '-', '금융', '전파']",부정
2023-05-14 09:40:17,"삼성전자, 무풍 덕분에 '활짝'…1분기 에어컨 점유율 절반",https://n.news.naver.com/mnews/article/421/0006804529?sid=101,"['삼성전자', ',', '무풍', '덕분', '에', ""'활짝'…1분기"", '에어컨', '점유율', '절반']",긍정
2023-05-14 17:08:42,"때이른 폭염에…'맞수' 삼성·LG전자, 이번엔 에어컨 '신경전'",https://n.news.naver.com/mnews/article/001/0013940849?sid=101,"['때이르', 'ㄴ', ""폭염에…'맞수'"", '삼성·LG전자,', '이번', '엔', '에어컨', ""'"", '신경전', ""'""]",긍정
2023-05-12 14:38:09,"삼성전자, 업계 최초 'CXL 2.0 D램' 개발…연내 양산 목표",https://n.news.naver.com/mnews/article/003/0011855316?sid=101,"['삼성전자', ',', '업계', '최초', ""'"", 'CXL', '2.0', 'D', '램', ""'"", '개발…연내', '양산', '목표']",긍정
2023-05-14 06:01:57,[테크톡톡] 반도체 시장 판도 가를 ‘GAA’… “삼성전자의 역전카드”,https://n.news.naver.com/mnews/article/366/0000901373?sid=105,"['[테크톡톡]', '반도체', '시장', '판', '도', '가르', 'ㄹ', '‘GAA’…', '“삼성전자', '의', '역전카드”']",긍정
2023-05-14 10:28:48,"삼성전자, 1분기 국내 에어컨 시장 점유율 48.6% 기록",https://n.news.naver.com/mnews/article/001/0013939941?sid=101,"['삼성전자', ',', '1분기', '국내', '에어컨', '시장', '점유율', '48.6', '%', '기록']",중립
2023-05-14 07:02:03,"주가 30% 떨어지자…개미 ""삼성전자 말고 이거 사야 돈 번다"" [윤현주의 主食이 주식]",https://n.news.naver.com/mnews/article/015/0004844065?sid=101,"['주', '가', '30', '%', '떨어지자…개미', '""', '삼성전자', '말', '고', '이거', '사', '아', '돌', 'ㄴ', '벌', 'ㄴ다', '""', '[윤현주', '의', '主食', '이', '주식', ']']",긍정
2023-05-12 14:44:27,"삼성전자, 업계최초 CXL 2.0 D램 개발…차세대 메모리 선점 속도",https://n.news.naver.com/mnews/article/001/0013938262?sid=105,"['삼성전자', ',', '업계최초', 'CXL', '2.0', 'D', '램', '개발…차세대', '메모리', '선점', '속도']",중립
2023-05-14 08:01:01,"하나금융, 인도네시아서 ‘라인뱅크·삼성전자’ 체험 행사",https://n.news.naver.com/mnews/article/032/0003223316?sid=101,"['하나금융,', '인도네시', '이', '아서', '‘라인뱅크·삼성전자’', '체험', '행사']",중립
2023-05-13 05:06:00,"파운드리 승자독식 심화…삼성전자-TSMC, 1분기 점유율 더 벌어졌다",https://n.news.naver.com/mnews/article/008/0004886681?sid=101,"['파운드', '이', '리', '승자독식', '심화…삼성전자-TSMC,', '1분기', '점유율', '더', '벌', '어', '지', '었다']",긍정
